epoch,beta,train_recon,train_kl,train_elbo,val_elbo,kl_dim_min,kl_dim_mean,kl_dim_max,active_dims,seconds
1,0.1,0.1988,7.2417,-7.4406,-7.3065,0.4004,0.4382,0.4697,16,19.3
2,0.2,0.082,7.0171,-7.0991,-7.7776,0.4259,0.4739,0.4993,16,23.8
3,0.3,0.0733,6.8548,-6.9281,-7.6964,0.4174,0.4746,0.5579,16,33.3
4,0.4,0.0689,6.749,-6.8179,-7.29,0.3732,0.4515,0.5115,16,42.8
5,0.5,0.0657,6.6747,-6.7404,-7.3873,0.3678,0.4538,0.4982,16,48.8
6,0.6,0.0632,6.613,-6.6762,-7.1414,0.3702,0.4405,0.4873,16,62.0
7,0.7,0.0618,6.5495,-6.6112,-7.2105,0.3454,0.443,0.5075,16,67.8
8,0.8,0.0606,6.512,-6.5727,-7.0185,0.3209,0.431,0.5097,16,74.0
9,0.9,0.06,6.4841,-6.5441,-7.0025,0.3207,0.4313,0.4837,16,79.1
10,1.0,0.0603,6.4246,-6.4849,-7.022,0.3255,0.4289,0.479,16,72.1
11,1.0,0.0584,6.4446,-6.503,-6.9679,0.3165,0.4299,0.5109,16,69.3
12,1.0,0.0572,6.4472,-6.5044,-6.8705,0.3051,0.4227,0.5216,16,70.1
13,1.0,0.0558,6.4554,-6.5112,-6.7941,0.3099,0.4156,0.4927,16,67.8
14,1.0,0.0549,6.4537,-6.5086,-7.0659,0.3197,0.4342,0.5108,16,67.3
15,1.0,0.0539,6.4449,-6.4988,-6.9523,0.3261,0.4311,0.4856,16,71.6
16,1.0,0.0531,6.4204,-6.4734,-7.1281,0.3205,0.4408,0.5157,16,91.6
17,1.0,0.0521,6.4201,-6.4722,-7.0188,0.2893,0.4326,0.5093,16,75.8
18,1.0,0.0505,6.4271,-6.4775,-7.2489,0.3056,0.4465,0.5361,16,71.1
