epoch,beta,train_recon,train_kl,train_elbo,val_elbo,kl_dim_min,kl_dim_mean,kl_dim_max,active_dims,seconds
1,1.0,9.1411,6.9728,-16.1139,-14.5418,0.3251,0.4285,0.5044,16,57.7
2,1.0,7.5756,7.3238,-14.8994,-14.6325,0.3091,0.4597,0.5324,16,69.5
3,1.0,7.368,7.2954,-14.6634,-14.4613,0.2637,0.4565,0.5676,16,80.6
4,1.0,7.2476,7.2487,-14.4964,-14.1529,0.2582,0.4406,0.5482,16,81.2
5,1.0,7.1787,7.2136,-14.3922,-14.1835,0.2503,0.4488,0.5712,16,92.3
6,1.0,7.1311,7.1915,-14.3226,-14.0343,0.2623,0.4427,0.5666,16,75.8
7,1.0,7.0963,7.1704,-14.2666,-13.812,0.2453,0.4292,0.5649,16,80.5
8,1.0,7.0623,7.142,-14.2044,-13.9775,0.2396,0.4437,0.5796,16,78.8
9,1.0,7.0307,7.1212,-14.152,-13.8751,0.2226,0.4382,0.5431,16,77.5
10,1.0,7.0053,7.0912,-14.0965,-14.0377,0.2293,0.4523,0.565,16,86.6
11,1.0,6.9805,7.0769,-14.0575,-13.7177,0.2312,0.4299,0.5569,16,97.3
12,1.0,6.9625,7.0671,-14.0296,-13.91,0.2252,0.4449,0.5648,16,82.5
13,1.0,6.9493,7.0473,-13.9966,-13.701,0.2049,0.434,0.551,16,89.8
14,1.0,6.9344,7.03,-13.9644,-13.727,0.2359,0.4362,0.5637,16,95.0
15,1.0,6.915,7.0199,-13.9349,-13.6173,0.2119,0.433,0.5405,16,102.5
16,1.0,6.9109,7.0105,-13.9214,-13.7938,0.2005,0.4437,0.5601,16,93.0
17,1.0,6.8991,6.9979,-13.897,-13.6466,0.2056,0.4366,0.5468,16,95.0
18,1.0,6.8971,6.9997,-13.8969,-13.7249,0.2104,0.4403,0.5998,16,115.6
