epoch,beta,train_recon,train_kl,train_elbo,val_elbo,kl_dim_min,kl_dim_mean,kl_dim_max,active_dims,seconds
1,0.1,8.3616,10.6132,-18.9748,-17.4701,0.395,0.6455,2.9047,16,44.5
2,0.2,7.0362,10.5668,-17.603,-16.9888,0.3733,0.6199,2.6018,16,57.9
3,0.3,7.1159,9.817,-16.9329,-16.5389,0.3463,0.59,2.5274,16,71.6
4,0.4,7.1189,9.4612,-16.5801,-16.1778,0.2929,0.5729,2.3341,16,82.0
5,0.5,7.1387,9.2022,-16.3409,-15.8553,0.3304,0.5468,2.0548,16,84.7
6,0.6,7.2402,8.8905,-16.1307,-15.6893,0.3198,0.5333,1.5299,16,94.6
7,0.7,7.3301,8.5895,-15.9195,-15.5046,0.3183,0.5144,1.1624,16,79.4
8,0.8,7.4694,8.3078,-15.7772,-15.4982,0.3312,0.5047,0.7111,16,80.0
9,0.9,7.6667,7.9734,-15.6401,-14.9319,0.3138,0.4517,0.5794,16,79.4
10,1.0,7.7102,7.7594,-15.4696,-14.7148,0.28,0.4411,0.5947,16,80.8
11,1.0,7.6562,7.7321,-15.3883,-14.7516,0.2538,0.4455,0.6098,16,91.4
12,1.0,7.6185,7.7225,-15.341,-14.5747,0.2594,0.4386,0.5694,16,101.4
13,1.0,7.5752,7.7111,-15.2863,-14.5176,0.2485,0.4366,0.5825,16,83.8
14,1.0,7.5419,7.6993,-15.2412,-14.7587,0.2564,0.4576,0.6123,16,97.1
15,1.0,7.522,7.7021,-15.2241,-14.4956,0.2646,0.4404,0.5676,16,96.9
16,1.0,7.5032,7.6915,-15.1947,-14.3476,0.2352,0.4279,0.578,16,104.4
17,1.0,7.5006,7.6949,-15.1955,-14.4655,0.2458,0.4381,0.5862,16,96.6
18,1.0,7.4818,7.6863,-15.1681,-14.454,0.227,0.437,0.6164,16,97.5
