model,split,c_u,c_o,mean_realized_cost,service_level,fill_rate,mean_overstock,crps,coverage_50,coverage_90,n_windows,n_scenarios,seed,commit
empirical,test,3,1,52.47543160486701,0.7413533188211345,0.8694817115558188,31.64508616745931,21.894140190159444,0.45222334458079905,0.7891468607903519,651406,1000,0,56e5135
empirical,test,1,1,29.659471972932394,0.5500225665713856,0.7530893100393263,16.524058728350674,21.894140190159444,0.45222334458079905,0.7891468607903519,651406,1000,0,56e5135
empirical,test,1,3,45.1455052609279,0.33756520511017707,0.5512977107695355,7.091657123207339,21.894140190159444,0.45222334458079905,0.7891468607903519,651406,1000,0,56e5135
gaussian,test,3,1,50.970559058791096,0.7010896430183327,0.8529399770208828,27.500200113667454,23.251124723773362,0.25961228481162285,0.5673972913973774,651406,1000,0,56e5135
gaussian,test,1,1,29.935663101616058,0.5797198674866366,0.7870240655914087,18.60554649122,23.251124723773362,0.25961228481162285,0.5673972913973774,651406,1000,0,56e5135
gaussian,test,1,3,51.0290314102876,0.44118414629278824,0.6944199327370942,11.590821080692704,23.251124723773362,0.25961228481162285,0.5673972913973774,651406,1000,0,56e5135
poisson,test,3,1,51.60912088620614,0.6429292944799403,0.8045952496694626,20.423081764675178,26.645725249650766,0.17939656681086757,0.3739250175773634,651406,1000,0,56e5135
poisson,test,1,1,29.628181195751957,0.569133535767248,0.7748313926245776,17.64942601081353,26.645725249650766,0.17939656681086757,0.3739250175773634,651406,1000,0,56e5135
poisson,test,1,3,59.444389520514086,0.49329143422074717,0.7412464955884973,15.226316613601963,26.645725249650766,0.17939656681086757,0.3739250175773634,651406,1000,0,56e5135
negative_binomial,test,3,1,51.20009333656736,0.6887670669290734,0.8405105439234484,25.746032428316596,22.66112128509255,0.3132086594228484,0.6233132639244956,651406,1000,0,56e5135
negative_binomial,test,1,1,29.165113615778793,0.5462768227495602,0.7584040227415003,16.312438018685736,22.66112128509255,0.3132086594228484,0.6233132639244956,651406,1000,0,56e5135
negative_binomial,test,1,3,48.30658606153459,0.4056287476627479,0.6575807973283914,10.030070340156524,22.66112128509255,0.3132086594228484,0.6233132639244956,651406,1000,0,56e5135
