comparison,c_u,c_o,pairing_seed,n_boot,mean_diff,ci_lower,ci_upper,p_gt_zero
cvae_minus_empirical,3,1,1,10000,-18.1214,-18.3962,-17.8471,0.0
cvae_minus_empirical,1,1,1,10000,-11.5126,-11.6406,-11.3832,0.0
cvae_minus_empirical,1,3,1,10000,-18.8449,-19.0489,-18.6397,0.0
cvae_minus_gaussian,3,1,1,10000,-16.6175,-16.8856,-16.3463,0.0
cvae_minus_gaussian,1,1,1,10000,-11.7916,-11.9241,-11.6607,0.0
cvae_minus_gaussian,1,3,1,10000,-24.7273,-24.9853,-24.4693,0.0
cvae_minus_poisson,3,1,1,10000,-17.2548,-17.5239,-16.9808,0.0
cvae_minus_poisson,1,1,1,10000,-11.4852,-11.6153,-11.3559,0.0
cvae_minus_poisson,1,3,1,10000,-33.1425,-33.4622,-32.8219,0.0
cvae_minus_negative_binomial,3,1,1,10000,-16.8513,-17.1199,-16.5796,0.0
cvae_minus_negative_binomial,1,1,1,10000,-11.0229,-11.1489,-10.8974,0.0
cvae_minus_negative_binomial,1,3,1,10000,-21.999,-22.2393,-21.7606,0.0
