epoch,beta,train_recon,train_kl,train_elbo,val_elbo,kl_dim_min,kl_dim_mean,kl_dim_max,active_dims,seconds
1,0.1,8.4753,9.3703,-17.8456,-17.3223,0.4408,0.6479,2.0646,16,29.1
2,0.2,7.0493,9.4344,-16.4837,-16.0433,0.3659,0.5704,1.452,16,30.7
3,0.3,7.1173,8.388,-15.5053,-15.0858,0.3195,0.5057,0.8691,16,30.3
4,0.4,7.1597,7.8029,-14.9626,-14.4513,0.288,0.4592,0.5971,16,30.4
5,0.5,7.1353,7.5532,-14.6885,-14.4112,0.2999,0.4598,0.582,16,30.6
6,0.6,7.1057,7.4267,-14.5324,-14.3233,0.2873,0.4597,0.5707,16,30.9
7,0.7,7.0786,7.3308,-14.4095,-14.2428,0.2625,0.4609,0.6208,16,32.1
8,0.8,7.0556,7.2345,-14.2902,-14.1581,0.2585,0.4534,0.6475,16,42.3
9,0.9,7.0318,7.17,-14.2018,-13.8714,0.2406,0.4373,0.5719,16,32.0
10,1.0,7.0144,7.096,-14.1104,-14.0468,0.2365,0.4528,0.587,16,31.3
11,1.0,6.9899,7.0735,-14.0634,-13.6871,0.2342,0.4284,0.5979,16,31.1
12,1.0,6.9722,7.0594,-14.0316,-13.8252,0.2445,0.4402,0.5642,16,31.2
13,1.0,6.9563,7.0294,-13.9857,-13.4097,0.2114,0.4103,0.5804,16,31.3
14,1.0,6.941,7.0055,-13.9465,-13.6631,0.2488,0.4308,0.6123,16,31.5
15,1.0,6.9306,7.0041,-13.9348,-13.6619,0.2189,0.4315,0.5675,16,31.5
16,1.0,6.9173,6.9766,-13.8939,-13.4204,0.2246,0.4135,0.5472,16,31.9
17,1.0,6.9086,6.9624,-13.871,-13.4739,0.215,0.419,0.5965,16,33.3
18,1.0,6.8998,6.9516,-13.8514,-13.5956,0.2158,0.4304,0.6275,16,34.7
